CUSIP,Company_Name,YEAR,FQTR,EPS,Price
QMEHFBLE,Hartman Inc,2015.0,4.0,3.7,47.23
QMEHFBLE,Hartman Inc,2016.0,1.0,3.81,44.53
QMEHFBLE,Hartman Inc,2016.0,2.0,4.1,57.24
QMEHFBLE,Hartman Inc,2016.0,3.0,4.34,53.03
QMEHFBLE,Hartman Inc,2016.0,4.0,4.59,69.15
8BQMTPAZ,"Caldwell, Miller and Anderson",2015.0,1.0,,
8BQMTPAZ,"Caldwell, Miller and Anderson",2015.0,2.0,,
8BQMTPAZ,"Caldwell, Miller and Anderson",2015.0,3.0,,
8BQMTPAZ,"Caldwell, Miller and Anderson",2015.0,4.0,,
8BQMTPAZ,"Caldwell, Miller and Anderson",2016.0,1.0,,
8BQMTPAZ,"Caldwell, Miller and Anderson",2016.0,2.0,,
8BQMTPAZ,"Caldwell, Miller and Anderson",2016.0,3.0,,
8BQMTPAZ,"Caldwell, Miller and Anderson",2016.0,4.0,,
DZJFFZPG3,Lane-Ramos,2015.0,1.0,5.7,78.12
DZJFFZPG3,Lane-Ramos,2015.0,2.0,5.69,77.72
DZJFFZPG3,Lane-Ramos,2015.0,3.0,5.54,74.13
DZJFFZPG3,Lane-Ramos,2015.0,4.0,5.05,69.55
DZJFFZPG3,Lane-Ramos,2016.0,1.0,5.01,61.4
DZJFFZPG3,Lane-Ramos,2016.0,2.0,5.66,60.76
DZJFFZPG3,Lane-Ramos,2016.0,3.0,5.63,64.04
DZJFFZPG3,Lane-Ramos,2016.0,4.0,5.61,74.08
J3MT89ART,"Murphy, Wood and Sanchez",2015.0,1.0,,
J3MT89ART,"Murphy, Wood and Sanchez",2015.0,2.0,,
J3MT89ART,"Murphy, Wood and Sanchez",2015.0,3.0,,
J3MT89ART,"Murphy, Wood and Sanchez",2015.0,4.0,,
J3MT89ART,"Murphy, Wood and Sanchez",2016.0,1.0,,
J3MT89ART,"Murphy, Wood and Sanchez",2016.0,2.0,,
J3MT89ART,"Murphy, Wood and Sanchez",2016.0,3.0,,
J3MT89ART,"Murphy, Wood and Sanchez",2016.0,4.0,,
VVU5MD4FE,Mooney LLC,2015.0,1.0,6.42,64.01
VVU5MD4FE,Mooney LLC,2015.0,2.0,5.96,62.2
VVU5MD4FE,Mooney LLC,2015.0,3.0,5.71,58.13
VVU5MD4FE,Mooney LLC,2015.0,4.0,5.85,59.9
VVU5MD4FE,Mooney LLC,2016.0,1.0,6.09,63.14
VVU5MD4FE,Mooney LLC,2016.0,2.0,6.09,72.16
VVU5MD4FE,Mooney LLC,2016.0,3.0,6.3,71.87
VVU5MD4FE,Mooney LLC,2016.0,4.0,6.42,69.6
AJ635O2,Miller-Wiley,2015.0,1.0,5.87,54.79
AJ635O2,Miller-Wiley,2015.0,2.0,5.1,61.82
AJ635O2,Miller-Wiley,2015.0,3.0,3.46,56.82
AJ635O2,Miller-Wiley,2015.0,4.0,1.65,61.97
AJ635O2,Miller-Wiley,2016.0,1.0,-0.48,54.05
AJ635O2,Miller-Wiley,2016.0,2.0,-0.13,52.89
AJ635O2,Miller-Wiley,2016.0,3.0,0.47,59.34
AJ635O2,Miller-Wiley,2016.0,4.0,-0.7,65.31
5HOPX3CG8,Ramos Group,2015.0,1.0,,
5HOPX3CG8,Ramos Group,2015.0,2.0,,
5HOPX3CG8,Ramos Group,2015.0,3.0,,
5HOPX3CG8,Ramos Group,2015.0,4.0,,
5HOPX3CG8,Ramos Group,2016.0,1.0,,
5HOPX3CG8,Ramos Group,2016.0,2.0,,
5HOPX3CG8,Ramos Group,2016.0,3.0,,
5HOPX3CG8,Ramos Group,2016.0,4.0,,
FOC1HQB8,Smith Group,2015.0,1.0,10.98,98.39
FOC1HQB8,Smith Group,2015.0,2.0,10.17,102.32
FOC1HQB8,Smith Group,2015.0,3.0,9.24,97.64
FOC1HQB8,Smith Group,2015.0,4.0,9.02,102.27
FOC1HQB8,Smith Group,2016.0,1.0,6.28,115.5
FOC1HQB8,Smith Group,2016.0,2.0,6.19,113.15
FOC1HQB8,Smith Group,2016.0,3.0,6.83,121.96
FOC1HQB8,Smith Group,2016.0,4.0,6.71,124.61
LT9ZTZ3ZA,Heath Inc,2015.0,1.0,-0.49,5.39
LT9ZTZ3ZA,Heath Inc,2015.0,2.0,-0.16,4.85
LT9ZTZ3ZA,Heath Inc,2015.0,3.0,-0.25,7.0
LT9ZTZ3ZA,Heath Inc,2015.0,4.0,-0.27,5.6189
LT9ZTZ3ZA,Heath Inc,2016.0,1.0,-0.66,5.14
LT9ZTZ3ZA,Heath Inc,2016.0,2.0,-0.55,6.78
LT9ZTZ3ZA,Heath Inc,2016.0,3.0,-0.46,7.81
LT9ZTZ3ZA,Heath Inc,2016.0,4.0,-0.25,5.17
ZZOH7BV0,Sullivan Inc,2015.0,1.0,-0.52,5.15
ZZOH7BV0,Sullivan Inc,2015.0,2.0,-0.59,4.4
ZZOH7BV0,Sullivan Inc,2015.0,3.0,-0.62,3.92
ZZOH7BV0,Sullivan Inc,2015.0,4.0,-1.27,4.45
ZZOH7BV0,Sullivan Inc,2016.0,1.0,-1.04,5.61
ZZOH7BV0,Sullivan Inc,2016.0,2.0,-0.95,7.391
ZZOH7BV0,Sullivan Inc,2016.0,3.0,-0.86,7.04
ZZOH7BV0,Sullivan Inc,2016.0,4.0,0.0,6.01
MV6UGT4TJ,"Hicks, Wilson and Boyd",2015.0,1.0,0.0,0.006
MV6UGT4TJ,"Hicks, Wilson and Boyd",2015.0,2.0,0.0,0.14
MV6UGT4TJ,"Hicks, Wilson and Boyd",2015.0,3.0,0.0,0.17
MV6UGT4TJ,"Hicks, Wilson and Boyd",2015.0,4.0,0.0,0.06
MV6UGT4TJ,"Hicks, Wilson and Boyd",2016.0,1.0,0.0,0.07
MV6UGT4TJ,"Hicks, Wilson and Boyd",2016.0,2.0,0.0,0.07
MV6UGT4TJ,"Hicks, Wilson and Boyd",2016.0,3.0,0.0,0.08
MV6UGT4TJ,"Hicks, Wilson and Boyd",2016.0,4.0,0.0,0.06
GHZ5PTO8Z,Wagner PLC,2015.0,1.0,-0.37,0.18
GHZ5PTO8Z,Wagner PLC,2015.0,2.0,-0.33,0.18
GHZ5PTO8Z,Wagner PLC,2015.0,3.0,-0.62,0.18
GHZ5PTO8Z,Wagner PLC,2015.0,4.0,-0.72,0.27
GHZ5PTO8Z,Wagner PLC,2016.0,1.0,-0.8,0.18
GHZ5PTO8Z,Wagner PLC,2016.0,2.0,-0.68,0.18
GHZ5PTO8Z,Wagner PLC,2016.0,3.0,1.05,0.18
GHZ5PTO8Z,Wagner PLC,2016.0,4.0,1.38,0.2
OW2LQMVI,"Mccullough, Wilson and Myers",2015.0,1.0,-0.65,6.98
OW2LQMVI,"Mccullough, Wilson and Myers",2015.0,2.0,-0.45,7.14
OW2LQMVI,"Mccullough, Wilson and Myers",2015.0,3.0,-0.56,7.03
OW2LQMVI,"Mccullough, Wilson and Myers",2015.0,4.0,-0.02,7.09
OW2LQMVI,"Mccullough, Wilson and Myers",2016.0,1.0,0.03,6.34
OW2LQMVI,"Mccullough, Wilson and Myers",2016.0,2.0,0.74,6.95
OW2LQMVI,"Mccullough, Wilson and Myers",2016.0,3.0,1.27,7.15
OW2LQMVI,"Mccullough, Wilson and Myers",2016.0,4.0,1.21,8.0
VVYF5RAB4,"Williams, Gomez and Davis",2015.0,1.0,1.98,23.46
VVYF5RAB4,"Williams, Gomez and Davis",2015.0,2.0,1.73,23.02
VVYF5RAB4,"Williams, Gomez and Davis",2015.0,3.0,1.86,21.7
VVYF5RAB4,"Williams, Gomez and Davis",2015.0,4.0,1.55,24.03
VVYF5RAB4,"Williams, Gomez and Davis",2016.0,1.0,2.08,24.61
VVYF5RAB4,"Williams, Gomez and Davis",2016.0,2.0,2.09,24.66
VVYF5RAB4,"Williams, Gomez and Davis",2016.0,3.0,1.84,25.63
VVYF5RAB4,"Williams, Gomez and Davis",2016.0,4.0,1.92,25.2
YQAEDK09,"Rose, Zimmerman and Joseph",2015.0,1.0,-1.81,34.39
YQAEDK09,"Rose, Zimmerman and Joseph",2015.0,2.0,7.18,28.86
YQAEDK09,"Rose, Zimmerman and Joseph",2015.0,3.0,7.69,30.23
YQAEDK09,"Rose, Zimmerman and Joseph",2015.0,4.0,8.64,28.34
YQAEDK09,"Rose, Zimmerman and Joseph",2016.0,1.0,8.74,28.61
YQAEDK09,"Rose, Zimmerman and Joseph",2016.0,2.0,3.81,29.3
YQAEDK09,"Rose, Zimmerman and Joseph",2016.0,3.0,3.43,38.22
YQAEDK09,"Rose, Zimmerman and Joseph",2016.0,4.0,2.05,43.82
EA7YGXDK,Daniel Inc,2015.0,1.0,3.8,61.21
EA7YGXDK,Daniel Inc,2015.0,2.0,3.81,66.68
EA7YGXDK,Daniel Inc,2015.0,3.0,3.65,63.49
EA7YGXDK,Daniel Inc,2015.0,4.0,3.7,62.9
EA7YGXDK,Daniel Inc,2016.0,1.0,3.89,68.28
EA7YGXDK,Daniel Inc,2016.0,2.0,3.97,68.8
EA7YGXDK,Daniel Inc,2016.0,3.0,4.2,72.62
EA7YGXDK,Daniel Inc,2016.0,4.0,4.23,88.69
1XBWWHKM,Lopez and Sons,2015.0,1.0,2.26,40.24
1XBWWHKM,Lopez and Sons,2015.0,2.0,2.51,41.97
1XBWWHKM,Lopez and Sons,2015.0,3.0,2.31,39.15
1XBWWHKM,Lopez and Sons,2015.0,4.0,2.71,41.22
1XBWWHKM,Lopez and Sons,2016.0,1.0,2.77,36.83
1XBWWHKM,Lopez and Sons,2016.0,2.0,2.79,38.85
1XBWWHKM,Lopez and Sons,2016.0,3.0,2.95,39.88
1XBWWHKM,Lopez and Sons,2016.0,4.0,3.15,47.38
KR57AA2,Hale-Diaz,2015.0,1.0,-0.96,9.0
KR57AA2,Hale-Diaz,2015.0,2.0,-0.89,8.0
KR57AA2,Hale-Diaz,2015.0,3.0,-3.17,8.6
KR57AA2,Hale-Diaz,2015.0,4.0,-4.23,9.0
KR57AA2,Hale-Diaz,2016.0,1.0,-4.25,8.41
KR57AA2,Hale-Diaz,2016.0,2.0,-4.23,9.9
KR57AA2,Hale-Diaz,2016.0,3.0,-1.61,9.0
KR57AA2,Hale-Diaz,2016.0,4.0,-0.09,9.0
PX9SMIP6,Buchanan Ltd,2015.0,1.0,4.96,53.61
PX9SMIP6,Buchanan Ltd,2015.0,2.0,3.1367,34.93
PX9SMIP6,Buchanan Ltd,2015.0,3.0,2.66,31.44
PX9SMIP6,Buchanan Ltd,2015.0,4.0,2.26,31.53
PX9SMIP6,Buchanan Ltd,2016.0,1.0,1.77,34.79
PX9SMIP6,Buchanan Ltd,2016.0,2.0,1.3,33.07
PX9SMIP6,Buchanan Ltd,2016.0,3.0,2.07,35.18
PX9SMIP6,Buchanan Ltd,2016.0,4.0,1.55,33.01
4ZA8HH3V,Pierce-Rose,2015.0,1.0,7.94,129.44
4ZA8HH3V,Pierce-Rose,2015.0,2.0,8.08,162.0
4ZA8HH3V,Pierce-Rose,2015.0,3.0,8.17,135.02
4ZA8HH3V,Pierce-Rose,2015.0,4.0,8.04,146.33
4ZA8HH3V,Pierce-Rose,2016.0,1.0,8.0,137.24
4ZA8HH3V,Pierce-Rose,2016.0,2.0,7.71,127.99
4ZA8HH3V,Pierce-Rose,2016.0,3.0,7.36,130.32
4ZA8HH3V,Pierce-Rose,2016.0,4.0,7.19,133.39
6B96ZTCX,"Mcdaniel, Fields and Hanson",2015.0,1.0,3.33,41.43
6B96ZTCX,"Mcdaniel, Fields and Hanson",2015.0,2.0,2.87,38.21
6B96ZTCX,"Mcdaniel, Fields and Hanson",2015.0,3.0,2.76,34.93
6B96ZTCX,"Mcdaniel, Fields and Hanson",2015.0,4.0,1.77,35.15
6B96ZTCX,"Mcdaniel, Fields and Hanson",2016.0,1.0,1.15,32.18
6B96ZTCX,"Mcdaniel, Fields and Hanson",2016.0,2.0,1.42,31.42
6B96ZTCX,"Mcdaniel, Fields and Hanson",2016.0,3.0,2.02,34.41
6B96ZTCX,"Mcdaniel, Fields and Hanson",2016.0,4.0,3.17,41.5
4ZVJ8A5,Mckenzie-Perry,2015.0,1.0,,
4ZVJ8A5,Mckenzie-Perry,2015.0,2.0,,
4ZVJ8A5,Mckenzie-Perry,2015.0,3.0,,
4ZVJ8A5,Mckenzie-Perry,2015.0,4.0,,
4ZVJ8A5,Mckenzie-Perry,2016.0,1.0,,
4ZVJ8A5,Mckenzie-Perry,2016.0,2.0,,
4ZVJ8A5,Mckenzie-Perry,2016.0,3.0,,
4ZVJ8A5,Mckenzie-Perry,2016.0,4.0,,
FGA9M5K,Moran-Rush,2015.0,1.0,0.27,12.45
FGA9M5K,Moran-Rush,2015.0,2.0,0.29,13.0
FGA9M5K,Moran-Rush,2015.0,3.0,0.3,11.5
FGA9M5K,Moran-Rush,2015.0,4.0,0.33,11.05
FGA9M5K,Moran-Rush,2016.0,1.0,0.31,10.15
FGA9M5K,Moran-Rush,2016.0,2.0,0.27,9.99
FGA9M5K,Moran-Rush,2016.0,3.0,0.24,10.75
FGA9M5K,Moran-Rush,2016.0,4.0,0.2,13.5
OA1UX8O,"Holland, Bennett and Williams",2015.0,1.0,,
OA1UX8O,"Holland, Bennett and Williams",2015.0,2.0,,
OA1UX8O,"Holland, Bennett and Williams",2015.0,3.0,,
OA1UX8O,"Holland, Bennett and Williams",2015.0,4.0,,
OA1UX8O,"Holland, Bennett and Williams",2016.0,1.0,,
OA1UX8O,"Holland, Bennett and Williams",2016.0,2.0,,
OA1UX8O,"Holland, Bennett and Williams",2016.0,3.0,,
OA1UX8O,"Holland, Bennett and Williams",2016.0,4.0,,
HHMZ8LHTG,Hughes and Sons,2015.0,1.0,-0.65,23.8
HHMZ8LHTG,Hughes and Sons,2015.0,2.0,-1.07,25.99
HHMZ8LHTG,Hughes and Sons,2015.0,3.0,-2.16,23.05
HHMZ8LHTG,Hughes and Sons,2015.0,4.0,-2.95,22.8
HHMZ8LHTG,Hughes and Sons,2016.0,1.0,-2.45,18.0
HHMZ8LHTG,Hughes and Sons,2016.0,2.0,-2.24,14.6
HHMZ8LHTG,Hughes and Sons,2016.0,3.0,-1.79,14.51
HHMZ8LHTG,Hughes and Sons,2016.0,4.0,-1.72,16.5
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2015.0,1.0,5.45,60.58
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2015.0,2.0,5.53,67.76
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2015.0,3.0,5.87,60.97
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2015.0,4.0,6.0,66.03
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2016.0,1.0,5.89,59.22
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2016.0,2.0,5.89,62.14
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2016.0,3.0,5.8,66.59
USYSXU2PV,"Gutierrez, Wilkinson and Wilson",2016.0,4.0,6.19,86.29
DZWQLAU5P,Cook-Flores,2015.0,1.0,8.45,101.1
DZWQLAU5P,Cook-Flores,2015.0,2.0,8.56,95.14
DZWQLAU5P,Cook-Flores,2015.0,3.0,8.68,122.65
O4FOJBH,Carpenter Group,2015.0,1.0,4.37,89.08
O4FOJBH,Carpenter Group,2015.0,2.0,4.41,90.39
O4FOJBH,Carpenter Group,2015.0,3.0,4.42,88.06
9FWGODE,"Anderson, Kim and Robles",2015.0,1.0,4.75,96.12
9FWGODE,"Anderson, Kim and Robles",2015.0,2.0,4.36,99.68
9FWGODE,"Anderson, Kim and Robles",2015.0,3.0,4.36,88.61
9FWGODE,"Anderson, Kim and Robles",2015.0,4.0,4.88,92.21
9FWGODE,"Anderson, Kim and Robles",2016.0,1.0,4.85,104.45
9FWGODE,"Anderson, Kim and Robles",2016.0,2.0,5.21,109.23
9FWGODE,"Anderson, Kim and Robles",2016.0,3.0,5.2,112.49
9FWGODE,"Anderson, Kim and Robles",2016.0,4.0,4.51,111.53
1H08WWAQB,Moss-Hensley,2015.0,1.0,3.15,45.13
1H08WWAQB,Moss-Hensley,2015.0,2.0,3.08,51.32
1H08WWAQB,Moss-Hensley,2015.0,3.0,3.0,41.1
1H08WWAQB,Moss-Hensley,2015.0,4.0,2.84,41.83
1H08WWAQB,Moss-Hensley,2016.0,1.0,2.45,37.87
1H08WWAQB,Moss-Hensley,2016.0,2.0,2.3,41.13
1H08WWAQB,Moss-Hensley,2016.0,3.0,2.4,47.32
1H08WWAQB,Moss-Hensley,2016.0,4.0,2.68,68.11
0GXKWGBM4,Shaffer-Shaw,2015.0,1.0,2.5824,42.32
0GXKWGBM4,Shaffer-Shaw,2015.0,2.0,2.6657,46.77
0GXKWGBM4,Shaffer-Shaw,2015.0,3.0,2.64,45.56
0GXKWGBM4,Shaffer-Shaw,2015.0,4.0,2.56,42.54
0GXKWGBM4,Shaffer-Shaw,2016.0,1.0,2.6229,44.95
0GXKWGBM4,Shaffer-Shaw,2016.0,2.0,2.6086,47.9
0GXKWGBM4,Shaffer-Shaw,2016.0,3.0,2.66,49.26
0GXKWGBM4,Shaffer-Shaw,2016.0,4.0,2.61,57.81
1Q2HAHZ,Johnson Ltd,2015.0,1.0,2.48,51.52
1Q2HAHZ,Johnson Ltd,2015.0,2.0,3.96,55.24
1Q2HAHZ,Johnson Ltd,2015.0,3.0,4.44,49.61
1Q2HAHZ,Johnson Ltd,2015.0,4.0,5.42,51.75
1Q2HAHZ,Johnson Ltd,2016.0,1.0,5.01,41.75
1Q2HAHZ,Johnson Ltd,2016.0,2.0,4.75,42.39
1Q2HAHZ,Johnson Ltd,2016.0,3.0,4.63,47.23
1Q2HAHZ,Johnson Ltd,2016.0,4.0,4.74,59.43
8ZRN2V0Q,Barber Inc,2015.0,1.0,-0.15,7.99
8ZRN2V0Q,Barber Inc,2015.0,2.0,-0.14,7.1
8ZRN2V0Q,Barber Inc,2015.0,3.0,-0.14,13.96
8ZRN2V0Q,Barber Inc,2015.0,4.0,-0.16,13.05
8ZRN2V0Q,Barber Inc,2016.0,1.0,-0.19,8.5
8ZRN2V0Q,Barber Inc,2016.0,2.0,-0.6,6.39
8ZRN2V0Q,Barber Inc,2016.0,3.0,-0.65,5.32
8ZRN2V0Q,Barber Inc,2016.0,4.0,-0.82,4.0
GP9OTI0D,Williams Group,2015.0,1.0,0.24,11.15
GP9OTI0D,Williams Group,2015.0,2.0,0.47,11.35
GP9OTI0D,Williams Group,2015.0,3.0,0.08,12.86
GP9OTI0D,Williams Group,2015.0,4.0,-1.08,10.3
GP9OTI0D,Williams Group,2016.0,1.0,-1.48,9.91
GP9OTI0D,Williams Group,2016.0,2.0,-0.96,9.9599
GP9OTI0D,Williams Group,2016.0,3.0,-0.66,11.65
GP9OTI0D,Williams Group,2016.0,4.0,-0.1,12.018
0NO3XQ0,Anderson-Roberson,2015.0,1.0,0.91,59.66
0NO3XQ0,Anderson-Roberson,2015.0,2.0,0.82,57.64
0NO3XQ0,Anderson-Roberson,2015.0,3.0,0.57,49.8
0NO3XQ0,Anderson-Roberson,2015.0,4.0,1.43,52.71
0NO3XQ0,Anderson-Roberson,2016.0,1.0,1.63,46.14
0NO3XQ0,Anderson-Roberson,2016.0,2.0,1.86,47.47
0NO3XQ0,Anderson-Roberson,2016.0,3.0,2.93,51.19
0NO3XQ0,Anderson-Roberson,2016.0,4.0,2.85,53.42
5PEL7AU2X,Bates Inc,2015.0,1.0,0.17,10.6
5PEL7AU2X,Bates Inc,2015.0,2.0,0.21,10.38
5PEL7AU2X,Bates Inc,2015.0,3.0,0.43,9.22
5PEL7AU2X,Bates Inc,2015.0,4.0,0.58,9.43
5PEL7AU2X,Bates Inc,2016.0,1.0,0.63,10.38
5PEL7AU2X,Bates Inc,2016.0,2.0,0.59,10.4
5PEL7AU2X,Bates Inc,2016.0,3.0,0.35,10.44
5PEL7AU2X,Bates Inc,2016.0,4.0,0.24,8.51
K6MHE18T,"Chan, Matthews and Price",2015.0,1.0,0.48,8.64
K6MHE18T,"Chan, Matthews and Price",2015.0,2.0,0.37,8.43
K6MHE18T,"Chan, Matthews and Price",2015.0,3.0,0.17,5.61
K6MHE18T,"Chan, Matthews and Price",2015.0,4.0,-0.82,5.31
K6MHE18T,"Chan, Matthews and Price",2016.0,1.0,-0.73,6.48
K6MHE18T,"Chan, Matthews and Price",2016.0,2.0,-0.65,8.49
K6MHE18T,"Chan, Matthews and Price",2016.0,3.0,-0.44,11.35
K6MHE18T,"Chan, Matthews and Price",2016.0,4.0,0.64,12.56
78O4JIA,Robinson Ltd,2015.0,1.0,,
78O4JIA,Robinson Ltd,2015.0,2.0,,
78O4JIA,Robinson Ltd,2015.0,3.0,,
78O4JIA,Robinson Ltd,2015.0,4.0,,
78O4JIA,Robinson Ltd,2016.0,1.0,,
78O4JIA,Robinson Ltd,2016.0,2.0,,
78O4JIA,Robinson Ltd,2016.0,3.0,,
78O4JIA,Robinson Ltd,2016.0,4.0,,
YJFGFQ7I,"Reeves, Rocha and Burton",2015.0,1.0,3.93,51.77
YJFGFQ7I,"Reeves, Rocha and Burton",2015.0,2.0,3.21,45.91
YJFGFQ7I,"Reeves, Rocha and Burton",2015.0,3.0,-0.59,43.72
YJFGFQ7I,"Reeves, Rocha and Burton",2015.0,4.0,-1.72,41.54
YJFGFQ7I,"Reeves, Rocha and Burton",2016.0,1.0,-0.63,27.43
YJFGFQ7I,"Reeves, Rocha and Burton",2016.0,2.0,-0.35,22.82
YJFGFQ7I,"Reeves, Rocha and Burton",2016.0,3.0,-0.07,30.95
YJFGFQ7I,"Reeves, Rocha and Burton",2016.0,4.0,1.59,22.14
3CCH85P,Hardy Inc,2015.0,1.0,4.43,69.08
3CCH85P,Hardy Inc,2015.0,2.0,4.52,78.58
3CCH85P,Hardy Inc,2015.0,3.0,4.5,63.58
3CCH85P,Hardy Inc,2015.0,4.0,4.28,60.0
3CCH85P,Hardy Inc,2016.0,1.0,4.25,55.11
3CCH85P,Hardy Inc,2016.0,2.0,4.25,63.73
3CCH85P,Hardy Inc,2016.0,3.0,4.32,71.94
3CCH85P,Hardy Inc,2016.0,4.0,4.7,88.23
2KCV91O67,"White, Rios and Stewart",2015.0,1.0,,
2KCV91O67,"White, Rios and Stewart",2015.0,2.0,,
2KCV91O67,"White, Rios and Stewart",2015.0,3.0,,
2KCV91O67,"White, Rios and Stewart",2015.0,4.0,,
2KCV91O67,"White, Rios and Stewart",2016.0,1.0,,
2KCV91O67,"White, Rios and Stewart",2016.0,2.0,,
